RevisionColumn,GenderID,NUTS,periods,Units,ValueColumn
"r_7","0","BG342","2005","perc","17.3"
"r_7","0","BG342","2006","perc","17.1"
"r_7","0","BG342","2007","perc","12.2"
"r_7","0","BG342","2008","perc","12.5"
"r_7","0","BG342","2009","perc","15"
"r_7","0","BG342","2010","perc","17"
"r_7","0","BG342","2011","perc","16.6"
"r_7","0","BG342","2012","perc","19.4"
"r_7","0","BG342","2013","perc","15.9"
"r_7","0","BG342","2014","perc","13.6"
"r_7","0","BG342","2015","perc","10.9"
"r_7","0","BG342","2016","perc","9"
"r_7","0","BG342","2017","perc","10.2"
"r_7","0","BG344","2003","perc","11.2"
"r_7","0","BG344","2004","perc","8.4"
"r_7","0","BG344","2005","perc","5.4"
"r_7","0","BG344","2006","perc","4.5"
"r_7","0","BG344","2007","perc","5.7"
"r_7","0","BG344","2008","perc","4.4"
"r_7","0","BG344","2009","perc","3.9"
"r_7","0","BG344","2010","perc","6.3"
"r_7","0","BG344","2011","perc","6.3"
"r_7","0","BG344","2012","perc","7.1"
"r_7","0","BG344","2013","perc","10.6"
"r_7","0","BG344","2014","perc","11"
"r_7","0","BG344","2015","perc","9.7"
"r_7","0","BG344","2016","perc","5.9"
"r_7","0","BG344","2017","perc","2.9"
"r_7","0","BG343","2003","perc","11.8"
"r_7","0","BG343","2004","perc","10.7"
"r_7","0","BG343","2005","perc","9.2"
"r_7","0","BG343","2006","perc","10.1"
"r_7","0","BG343","2007","perc","7.2"
"r_7","0","BG343","2008","perc","6.4"
"r_7","0","BG343","2009","perc","8.8"
"r_7","0","BG343","2010","perc","14.4"
"r_7","0","BG343","2011","perc","13.6"
"r_7","0","BG343","2012","perc","14.9"
"r_7","0","BG343","2013","perc","16.1"
"r_7","0","BG343","2014","perc","15"
"r_7","0","BG343","2015","perc","12"
"r_7","0","BG343","2016","perc","7.4"
"r_7","0","BG343","2017","perc","7.6"
"r_7","0","BG41","2003","perc","11.2"
"r_7","0","BG41","2004","perc","9.3"
"r_7","0","BG41","2005","perc","7.6"
"r_7","0","BG41","2006","perc","6.5"
"r_7","0","BG41","2007","perc","3.9"
"r_7","0","BG41","2008","perc","2.9"
"r_7","0","BG41","2009","perc","4.1"
"r_7","0","BG41","2010","perc","6.9"
"r_7","0","BG41","2011","perc","7.5"
"r_7","0","BG41","2012","perc","8.2"
"r_7","0","BG41","2013","perc","9.8"
"r_7","0","BG41","2014","perc","8.9"
"r_7","0","BG41","2015","perc","6.7"
"r_7","0","BG41","2016","perc","5.4"
"r_7","0","BG41","2017","perc","3.3"
"r_7","0","BG413","2003","perc","8"
"r_7","0","BG413","2004","perc","4"
"r_7","0","BG413","2005","perc","(2.2)"
"r_7","0","BG413","2006","perc","3.6"
"r_7","0","BG413","2007","perc","(2.3)"
"r_7","0","BG413","2008","perc","(1.8)"
"r_7","0","BG413","2009","perc","3.4"
"r_7","0","BG413","2010","perc","5.9"
"r_7","0","BG413","2011","perc","8.4"
"r_7","0","BG413","2012","perc","10.4"
"r_7","0","BG413","2013","perc","13.5"
"r_7","0","BG413","2014","perc","14.1"
"r_7","0","BG413","2015","perc","10.3"
"r_7","0","BG413","2016","perc","8.3"
"r_7","0","BG413","2017","perc","4.5"
"r_7","0","BG415","2003","perc","14.7"
