RevisionColumn,periods,Units,Indicators,ValueColumn
"r_6","2023","1000BGN","3.1.2.5.1.1.1.1","1338147"
"r_6","2023","1000BGN","3.1.2.5.1.1.1.2","232498"
"r_6","2023","1000BGN","3.1.2.5.1.1.2","270265"
"r_6","2023","1000BGN","3.1.2.5.1.1.3","#"
"r_6","2023","1000BGN","3.1.2.5.1.1.4","270265"
"r_6","2023","1000BGN","3.1.2.5.1.1.5","6627"
"r_6","2023","1000BGN","3.1.2.5.1.1.6","263652"
"r_6","2023","1000BGN","3.1.2.5.1.1","1840924"
"r_6","2023","1000BGN","3.1.2.5.1.2.1","1831254"
"r_6","2023","1000BGN","3.1.2.5.1.2.1.1","1617925"
"r_6","2023","1000BGN","3.1.2.5.1.2.1.2","213329"
"r_6","2023","1000BGN","3.1.2.5.1.2.2","9656"
"r_6","2023","1000BGN","3.1.2.5.1.2.3","#"
"r_6","2023","1000BGN","3.1.2.5.1.2.4","9656"
"r_6","2023","1000BGN","3.1.2.5.1.2.5","9670"
"r_6","2023","1000BGN","3.1.2.5.1.2","1840924"
"r_7","2024","1000BGN","3.1.2.5.1.1.1","1901403"
"r_7","2024","1000BGN","3.1.2.5.1.1.1.1","1647657"
"r_7","2024","1000BGN","3.1.2.5.1.1.1.2","253746"
"r_7","2024","1000BGN","3.1.2.5.1.1.2","345570"
"r_7","2024","1000BGN","3.1.2.5.1.1.3","#"
"r_7","2024","1000BGN","3.1.2.5.1.1.4","345570"
"r_7","2024","1000BGN","3.1.2.5.1.1.5","12784"
"r_7","2024","1000BGN","3.1.2.5.1.1.6","332692"
"r_7","2024","1000BGN","3.1.2.5.1.1","2246879"
"r_7","2024","1000BGN","3.1.2.5.1.2.1","2243209"
"r_7","2024","1000BGN","3.1.2.5.1.2.1.1","1989568"
"r_7","2024","1000BGN","3.1.2.5.1.2.1.2","253641"
"r_7","2024","1000BGN","3.1.2.5.1.2.2","3764"
"r_7","2024","1000BGN","3.1.2.5.1.2.3","#"
"r_7","2024","1000BGN","3.1.2.5.1.2.4","3764"
"r_7","2024","1000BGN","3.1.2.5.1.2.5","3670"
"r_7","2024","1000BGN","3.1.2.5.1.2","2246879"
