RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_6","2015","3.5.2.1.2","num","IE","13232"
"r_6","2015","3.5.2.2.2","num","ES","54767"
"r_6","2015","3.5.2.1.2","num","ES","26461"
"r_6","2015","3.5.2.2.2","num","IT","162101"
"r_6","2015","3.5.2.1.2","num","IT","68301"
"r_6","2015","3.5.2.2.2","num","CY","16965"
"r_6","2015","3.5.2.1.2","num","CY","6294"
"r_6","2015","3.5.2.2.2","num","LV","61551"
"r_6","2015","3.5.2.1.2","num","LV","11005"
"r_6","2015","3.5.2.2.2","num","LT","96938"
"r_6","2015","3.5.2.1.2","num","LT","17054"
"r_6","2015","3.5.2.2.2","num","LU","15380"
"r_6","2015","3.5.2.1.2","num","LU","2538"
"r_6","2015","3.5.2.2.2","num","MT","6477"
"r_6","2015","3.5.2.1.2","num","MT","2372"
"r_6","2015","3.5.2.2.2","num","NL","130473"
"r_6","2015","3.5.2.1.2","num","NL","32198"
"r_6","2015","3.5.2.2.2","num","GB","1124930"
"r_6","2015","3.5.2.1.2","num","GB","200143"
"r_6","2015","3.5.2.2.2","num","PL","989481"
"r_6","2015","3.5.2.1.2","num","PL","158727"
"r_6","2015","3.5.2.2.2","num","PT","21295"
"r_6","2015","3.5.2.1.2","num","PT","7286"
"r_6","2015","3.5.2.2.2","num","RO","1462940"
"r_6","2015","3.5.2.1.2","num","RO","375221"
"r_6","2015","3.5.2.2.2","num","SK","205760"
"r_6","2015","3.5.2.1.2","num","SK","33971"
"r_6","2015","3.5.2.2.2","num","SI","45412"
"r_6","2015","3.5.2.1.2","num","SI","13802"
"r_6","2015","3.5.2.2.2","num","HU","158569"
"r_6","2015","3.5.2.1.2","num","HU","35676"
"r_6","2015","3.5.2.2.2","num","FI","96869"
"r_6","2015","3.5.2.1.2","num","FI","17854"
"r_6","2015","3.5.2.2.2","num","FR","261327"
"r_6","2015","3.5.2.1.2","num","FR","74742"
"r_6","2015","3.5.2.2.2","num","HR","19618"
"r_6","2015","3.5.2.1.2","num","HR","8737"
"r_6","2015","3.5.2.2.2","num","CZ","360762"
"r_6","2015","3.5.2.1.2","num","CZ","63367"
"r_6","2015","3.5.2.2.2","num","SE","138417"
"r_6","2015","3.5.2.1.2","num","SE","27605"
"r_6","2015","3.5.2.2.2","num","OTH_EUR","2723160"
"r_6","2015","3.5.2.1.2","num","OTH_EUR","563836"
"r_6","2015","3.5.2.2.2","num","MK","225206"
"r_6","2015","3.5.2.1.2","num","MK","76855"
"r_6","2015","3.5.2.2.2","num","NO","292558"
"r_6","2015","3.5.2.1.2","num","NO","43894"
"r_6","2015","3.5.2.2.2","num","RU","1355826"
"r_6","2015","3.5.2.1.2","num","RU","184593"
"r_6","2015","3.5.2.2.2","num","RS","118777"
"r_6","2015","3.5.2.1.2","num","RS","37016"
"r_6","2015","3.5.2.2.2","num","TR","229300"
"r_6","2015","3.5.2.1.2","num","TR","121163"
"r_6","2015","3.5.2.2.2","num","UA","447981"
"r_6","2015","3.5.2.1.2","num","UA","83825"
"r_6","2015","3.5.2.2.2","num","CH","53512"
"r_6","2015","3.5.2.1.2","num","CH","16490"
"r_6","2015","3.5.2.2.2","num","OTH","632910"
"r_6","2015","3.5.2.1.2","num","OTH","202165"
"r_6","2015","3.5.2.2.2","num","IL","467981"
"r_6","2015","3.5.2.1.2","num","IL","130031"
"r_6","2015","3.5.2.2.2","num","US","136987"
"r_6","2015","3.5.2.1.2","num","US","54690"
"r_6","2015","3.5.2.2.2","num","JP","27942"
"r_6","2015","3.5.2.1.2","num","JP","17444"
"r_6","2015","3.5.2.2.2","num","RoW","1335912"
"r_6","2015","3.5.2.1.2","num","RoW","299846"
"r_7","2016I","3.5.2.2.2","num","total","381926"
"r_7","2016I","3.5.2.1.2","num","total","123005"
"r_7","2016I","3.5.2.2.2","num","EU","150345"
"r_7","2016I","3.5.2.1.2","num","EU","55012"
