RevisionColumn,periods,Units,EKATTE,Residence,ValueColumn
"r_1","2008","num","VID33","1","-"
"r_1","2008","num","VID33","2","4"
"r_1","2009","num","VID33","0","5"
"r_1","2009","num","VID33","1","-"
"r_1","2009","num","VID33","2","5"
"r_1","2010","num","VID33","0","3"
"r_1","2010","num","VID33","1","-"
"r_1","2010","num","VID33","2","3"
"r_1","2011","num","VID33","0","6"
"r_1","2011","num","VID33","1","-"
"r_1","2011","num","VID33","2","6"
"r_1","2012","num","VID33","0","5"
"r_1","2012","num","VID33","1","-"
"r_1","2012","num","VID33","2","5"
"r_1","2013","num","VID33","0","5"
"r_1","2013","num","VID33","1","-"
"r_1","2013","num","VID33","2","5"
"r_1","2014","num","VID33","0","3"
"r_1","2014","num","VID33","1","-"
"r_1","2014","num","VID33","2","3"
"r_1","2000","num","VID37","0","2"
"r_1","2000","num","VID37","1","-"
"r_1","2000","num","VID37","2","2"
"r_1","2001","num","VID37","0","5"
"r_1","2001","num","VID37","1","-"
"r_1","2001","num","VID37","2","5"
"r_1","2002","num","VID37","0","5"
"r_1","2002","num","VID37","1","-"
"r_1","2002","num","VID37","2","5"
"r_1","2003","num","VID37","0","3"
"r_1","2003","num","VID37","1","-"
"r_1","2003","num","VID37","2","3"
"r_1","2004","num","VID37","0","4"
"r_1","2004","num","VID37","1","-"
"r_1","2004","num","VID37","2","4"
"r_1","2005","num","VID37","0","1"
"r_1","2005","num","VID37","1","-"
"r_1","2005","num","VID37","2","1"
"r_1","2006","num","VID37","0","-"
"r_1","2006","num","VID37","1","-"
"r_1","2006","num","VID37","2","-"
"r_1","2007","num","VID37","0","1"
"r_1","2007","num","VID37","1","-"
"r_1","2007","num","VID37","2","1"
"r_1","2008","num","VID37","0","-"
"r_1","2008","num","VID37","1","-"
"r_1","2008","num","VID37","2","-"
"r_1","2009","num","VID37","0","2"
"r_1","2009","num","VID37","1","-"
"r_1","2009","num","VID37","2","2"
"r_1","2010","num","VID37","0","3"
"r_1","2010","num","VID37","1","-"
"r_1","2010","num","VID37","2","3"
"r_1","2011","num","VID37","0","4"
"r_1","2011","num","VID37","1","-"
"r_1","2011","num","VID37","2","4"
"r_1","2012","num","VID37","0","2"
"r_1","2012","num","VID37","1","-"
"r_1","2012","num","VID37","2","2"
"r_1","2013","num","VID37","0","2"
"r_1","2013","num","VID37","1","-"
"r_1","2013","num","VID37","2","2"
"r_1","2014","num","VID37","0","2"
"r_1","2014","num","VID37","1","-"
"r_1","2014","num","VID37","2","2"
"r_1","2000","num","VRC","0","758"
"r_1","2000","num","VRC","1","553"
"r_1","2000","num","VRC","2","205"
"r_1","2001","num","VRC","0","723"
"r_1","2001","num","VRC","1","532"
"r_1","2001","num","VRC","2","191"
"r_1","2002","num","VRC","0","590"
"r_1","2002","num","VRC","1","435"
"r_1","2002","num","VRC","2","155"
"r_1","2003","num","VRC","0","652"
"r_1","2003","num","VRC","1","477"
"r_1","2003","num","VRC","2","175"
"r_1","2004","num","VRC","0","578"
"r_1","2004","num","VRC","1","417"
"r_1","2004","num","VRC","2","161"
"r_1","2005","num","VRC","0","606"
"r_1","2005","num","VRC","1","414"
"r_1","2005","num","VRC","2","192"
"r_1","2006","num","VRC","0","577"
"r_1","2006","num","VRC","1","432"
"r_1","2006","num","VRC","2","145"
"r_1","2007","num","VRC","0","538"
"r_1","2007","num","VRC","1","369"
"r_1","2007","num","VRC","2","169"
"r_1","2008","num","VRC","0","498"
"r_1","2008","num","VRC","1","354"
"r_1","2008","num","VRC","2","144"
"r_1","2009","num","VRC","0","428"
"r_1","2009","num","VRC","1","300"
"r_1","2009","num","VRC","2","128"
"r_1","2010","num","VRC","0","409"
"r_1","2010","num","VRC","1","297"
"r_1","2010","num","VRC","2","112"
"r_1","2011","num","VRC","0","342"
"r_1","2011","num","VRC","1","227"
"r_1","2011","num","VRC","2","115"
"r_1","2012","num","VRC","0","333"
"r_1","2012","num","VRC","1","231"
"r_1","2012","num","VRC","2","102"
"r_1","2013","num","VRC","0","304"
"r_1","2013","num","VRC","1","204"
"r_1","2013","num","VRC","2","100"
"r_1","2014","num","VRC","0","352"
"r_1","2014","num","VRC","1","233"
"r_1","2014","num","VRC","2","119"
"r_1","2000","num","VRC05","0","14"
"r_1","2000","num","VRC05","1","-"
"r_1","2000","num","VRC05","2","14"
"r_1","2001","num","VRC05","0","30"
"r_1","2001","num","VRC05","1","-"
