RevisionColumn,periods,Units,Age10_LFS,GenderID,ValueColumn
"r_17","2006Q4","perc","0","2","8.7"
"r_17","2006Q4","perc","15 - 64","2","8.7"
"r_17","2006Q4","perc","20 - 64","2","8.3"
"r_17","2006Q4","perc","15 - 29","2","14"
"r_17","2006Q4","perc","15 - 24","2","20.3"
"r_17","2006Q4","perc","25 - 34","2","8"
"r_17","2006Q4","perc","35 - 44","2","7.6"
"r_17","2006Q4","perc","45 - 54","2","7.3"
"r_17","2006Q4","perc","55 - 64","2","8.1"
"r_17","2006Q4","perc","65+","2","(5.5)"
"r_17","2007Q1","perc","0","0","8"
"r_17","2007Q1","perc","15 - 64","0","8"
"r_17","2007Q1","perc","20 - 64","0","7.7"
"r_17","2007Q1","perc","15 - 29","0","12"
"r_17","2007Q1","perc","15 - 24","0","16"
"r_17","2007Q1","perc","25 - 34","0","7.5"
"r_17","2007Q1","perc","35 - 44","0","7.2"
"r_17","2007Q1","perc","45 - 54","0","7.2"
"r_17","2007Q1","perc","55 - 64","0","7.7"
"r_17","2007Q1","perc","65+","0","(3.7)"
"r_17","2007Q1","perc","0","1","7.7"
"r_17","2007Q1","perc","15 - 64","1","7.7"
"r_17","2007Q1","perc","20 - 64","1","7.4"
"r_17","2007Q1","perc","15 - 29","1","12.2"
