RevisionColumn,NKPD2011_CLS,Units,periods,GenderID,ValueColumn
"r_2","6","1000cp","2013Q4","2","41.6"
"r_2","6","1000cp","2014Q1","0","100.2"
"r_2","6","1000cp","2014Q1","1","66.6"
"r_2","6","1000cp","2014Q1","2","33.7"
"r_2","6","1000cp","2014Q2","0","122.3"
"r_2","6","1000cp","2014Q2","1","76"
"r_2","6","1000cp","2014Q2","2","46.2"
"r_2","6","1000cp","2014Q3","0","138.2"
"r_2","6","1000cp","2014Q3","1","84"
"r_2","6","1000cp","2014Q3","2","54.2"
"r_2","6","1000cp","2014Q4","0","112.7"
"r_2","6","1000cp","2014Q4","1","72.3"
"r_2","6","1000cp","2014Q4","2","40.4"
"r_2","6","1000cp","2015Q1","0","102.2"
"r_2","6","1000cp","2015Q1","1","68.9"
"r_2","6","1000cp","2015Q1","2","33.3"
"r_2","6","1000cp","2015Q2","0","118.5"
"r_2","6","1000cp","2015Q2","1","78.1"
"r_2","6","1000cp","2015Q2","2","40.4"
"r_2","6","1000cp","2015Q3","0","123.8"
"r_2","6","1000cp","2015Q3","1","77.9"
"r_2","6","1000cp","2015Q3","2","45.9"
"r_2","6","1000cp","2015Q4","0","103.4"
"r_2","6","1000cp","2015Q4","1","65.7"
"r_2","6","1000cp","2015Q4","2","37.7"
"r_2","7","1000cp","2011Q1","0","405"
"r_2","7","1000cp","2011Q1","1","300.5"
"r_2","7","1000cp","2011Q1","2","104.5"
"r_2","7","1000cp","2011Q2","0","396.4"
"r_2","7","1000cp","2011Q2","1","293.5"
"r_2","7","1000cp","2011Q2","2","102.9"
"r_2","7","1000cp","2011Q3","0","425.8"
"r_2","7","1000cp","2011Q3","1","320.6"
"r_2","7","1000cp","2011Q3","2","105.2"
"r_2","7","1000cp","2011Q4","0","432.6"
"r_2","7","1000cp","2011Q4","1","320.3"
"r_2","7","1000cp","2011Q4","2","112.3"
"r_2","7","1000cp","2012Q1","0","408.2"
"r_2","7","1000cp","2012Q1","1","296"
"r_2","7","1000cp","2012Q1","2","112.1"
"r_2","7","1000cp","2012Q2","0","406.6"
"r_2","7","1000cp","2012Q2","1","294.5"
"r_2","7","1000cp","2012Q2","2","112.1"
"r_2","7","1000cp","2012Q3","0","423.3"
"r_2","7","1000cp","2012Q3","1","310"
"r_2","7","1000cp","2012Q3","2","113.3"
"r_2","7","1000cp","2012Q4","0","412"
"r_2","7","1000cp","2012Q4","1","303.4"
"r_2","7","1000cp","2012Q4","2","108.6"
"r_2","7","1000cp","2013Q1","0","398.7"
"r_2","7","1000cp","2013Q1","1","295.8"
"r_2","7","1000cp","2013Q1","2","102.9"
"r_2","7","1000cp","2013Q2","0","391.2"
"r_2","7","1000cp","2013Q2","1","292.6"
"r_2","7","1000cp","2013Q2","2","98.6"
"r_2","7","1000cp","2013Q3","0","382.9"
"r_2","7","1000cp","2013Q3","1","275.9"
"r_2","7","1000cp","2013Q3","2","107"
"r_2","7","1000cp","2013Q4","0","377.6"
"r_2","7","1000cp","2013Q4","1","272.2"
"r_2","7","1000cp","2013Q4","2","105.5"
"r_2","7","1000cp","2014Q1","0","377.5"
"r_2","7","1000cp","2014Q1","1","277.5"
"r_2","7","1000cp","2014Q1","2","100.1"
"r_2","7","1000cp","2014Q2","0","380.6"
"r_2","7","1000cp","2014Q2","1","282.7"
"r_2","7","1000cp","2014Q2","2","97.9"
"r_2","7","1000cp","2014Q3","0","390"
"r_2","7","1000cp","2014Q3","1","289.1"
"r_2","7","1000cp","2014Q3","2","100.9"
"r_2","7","1000cp","2014Q4","0","386.8"
"r_2","7","1000cp","2014Q4","1","280.9"
"r_2","7","1000cp","2014Q4","2","105.9"
"r_2","7","1000cp","2015Q1","0","378.8"
"r_2","7","1000cp","2015Q1","1","270.4"
"r_2","7","1000cp","2015Q1","2","108.4"
"r_2","7","1000cp","2015Q2","0","388.3"
"r_2","7","1000cp","2015Q2","1","285.3"
"r_2","7","1000cp","2015Q2","2","102.9"
"r_2","7","1000cp","2015Q3","0","401.2"
"r_2","7","1000cp","2015Q3","1","308.4"
"r_2","7","1000cp","2015Q3","2","92.8"
"r_2","7","1000cp","2015Q4","0","414.3"
"r_2","7","1000cp","2015Q4","1","312.3"
"r_2","7","1000cp","2015Q4","2","102"
"r_2","8","1000cp","2011Q1","0","378.7"
"r_2","8","1000cp","2011Q1","1","288.5"
"r_2","8","1000cp","2011Q1","2","90.2"
"r_2","8","1000cp","2011Q2","0","381.7"
"r_2","8","1000cp","2011Q2","1","281.1"
"r_2","8","1000cp","2011Q2","2","100.7"
"r_2","8","1000cp","2011Q3","0","389.4"
"r_2","8","1000cp","2011Q3","1","286.6"
"r_2","8","1000cp","2011Q3","2","102.9"
"r_2","8","1000cp","2011Q4","0","388.3"
"r_2","8","1000cp","2011Q4","1","286.2"
"r_2","8","1000cp","2011Q4","2","102.1"
"r_2","8","1000cp","2012Q1","0","389.7"
"r_2","8","1000cp","2012Q1","1","293.9"
"r_2","8","1000cp","2012Q1","2","95.8"
"r_2","8","1000cp","2012Q2","0","395.7"
"r_2","8","1000cp","2012Q2","1","292.4"
"r_2","8","1000cp","2012Q2","2","103.4"
"r_2","8","1000cp","2012Q3","0","391.3"
"r_2","8","1000cp","2012Q3","1","285.3"
"r_2","8","1000cp","2012Q3","2","106"
"r_2","8","1000cp","2012Q4","0","379.9"
"r_2","8","1000cp","2012Q4","1","276.6"
"r_2","8","1000cp","2012Q4","2","103.3"
"r_2","8","1000cp","2013Q1","0","379.2"
"r_2","8","1000cp","2013Q1","1","279.6"
"r_2","8","1000cp","2013Q1","2","99.6"
"r_2","8","1000cp","2013Q2","0","388"
"r_2","8","1000cp","2013Q2","1","287.6"
"r_2","8","1000cp","2013Q2","2","100.4"
"r_2","8","1000cp","2013Q3","0","384.3"
"r_2","8","1000cp","2013Q3","1","284.9"
"r_2","8","1000cp","2013Q3","2","99.4"
"r_2","8","1000cp","2013Q4","0","369.2"
"r_2","8","1000cp","2013Q4","1","274.5"
"r_2","8","1000cp","2013Q4","2","94.7"
"r_2","8","1000cp","2014Q1","0","369.3"
"r_2","8","1000cp","2014Q1","1","273.6"
"r_2","8","1000cp","2014Q1","2","95.7"
"r_2","8","1000cp","2014Q2","0","368.2"
"r_2","8","1000cp","2014Q2","1","275"
"r_2","8","1000cp","2014Q2","2","93.2"
"r_2","8","1000cp","2014Q3","0","375.5"
"r_2","8","1000cp","2014Q3","1","283.8"
"r_2","8","1000cp","2014Q3","2","91.7"
"r_2","8","1000cp","2014Q4","0","384.7"
"r_2","8","1000cp","2014Q4","1","292.5"
"r_2","8","1000cp","2014Q4","2","92.2"
"r_2","8","1000cp","2015Q1","0","376"
"r_2","8","1000cp","2015Q1","1","284.6"
"r_2","8","1000cp","2015Q1","2","91.3"
"r_2","8","1000cp","2015Q2","0","373.2"
"r_2","8","1000cp","2015Q2","1","278.7"
"r_2","8","1000cp","2015Q2","2","94.6"
"r_2","8","1000cp","2015Q3","0","389.7"
"r_2","8","1000cp","2015Q3","1","291.5"
"r_2","8","1000cp","2015Q3","2","98.1"
"r_2","8","1000cp","2015Q4","0","396"
"r_2","8","1000cp","2015Q4","1","301.1"
"r_2","8","1000cp","2015Q4","2","94.9"
"r_2","9","1000cp","2011Q1","0","269.5"
"r_2","9","1000cp","2011Q1","1","153.8"
"r_2","9","1000cp","2011Q1","2","115.7"
"r_2","9","1000cp","2011Q2","0","278.3"
"r_2","9","1000cp","2011Q2","1","161.1"
"r_2","9","1000cp","2011Q2","2","117.1"
"r_2","9","1000cp","2011Q3","0","305.6"
"r_2","9","1000cp","2011Q3","1","183.3"
"r_2","9","1000cp","2011Q3","2","122.3"
"r_2","9","1000cp","2011Q4","0","291.9"
"r_2","9","1000cp","2011Q4","1","174.2"
"r_2","9","1000cp","2011Q4","2","117.8"
"r_2","9","1000cp","2012Q1","0","273"
