RevisionColumn,NUTS,Age10_LFS,GenderID,Units,periods,ValueColumn
"r_2","BG31","15 - 64_gr","0","1000cp","2005Q1","333.6"
"r_2","BG31","15 - 64_gr","1","1000cp","2005Q1","176"
"r_2","BG31","15 - 64_gr","2","1000cp","2005Q1","157.7"
"r_2","BG32","0","0","1000cp","2005Q1","379.4"
"r_2","BG32","0","1","1000cp","2005Q1","205"
"r_2","BG32","0","2","1000cp","2005Q1","174.4"
"r_2","BG32","15 - 64_gr","0","1000cp","2005Q1","375.6"
"r_2","BG32","15 - 64_gr","1","1000cp","2005Q1","202.1"
"r_2","BG32","15 - 64_gr","2","1000cp","2005Q1","173.5"
"r_2","BG33","0","0","1000cp","2005Q1","435"
"r_2","BG33","0","1","1000cp","2005Q1","235.7"
"r_2","BG33","0","2","1000cp","2005Q1","199.3"
"r_2","BG33","15 - 64_gr","0","1000cp","2005Q1","429.3"
"r_2","BG33","15 - 64_gr","1","1000cp","2005Q1","231.1"
"r_2","BG33","15 - 64_gr","2","1000cp","2005Q1","198.2"
"r_2","BG34","0","0","1000cp","2005Q1","448.2"
"r_2","BG34","0","1","1000cp","2005Q1","248.6"
"r_2","BG34","0","2","1000cp","2005Q1","199.7"
"r_2","BG34","15 - 64_gr","0","1000cp","2005Q1","441.9"
"r_2","BG34","15 - 64_gr","1","1000cp","2005Q1","243.7"
"r_2","BG34","15 - 64_gr","2","1000cp","2005Q1","198.2"
"r_2","BG41","0","0","1000cp","2005Q1","975.5"
"r_2","BG41","0","1","1000cp","2005Q1","507.2"
"r_2","BG41","0","2","1000cp","2005Q1","468.4"
"r_2","BG41","15 - 64_gr","0","1000cp","2005Q1","965.6"
"r_2","BG41","15 - 64_gr","1","1000cp","2005Q1","500.8"
"r_2","BG41","15 - 64_gr","2","1000cp","2005Q1","464.8"
"r_2","BG42","0","0","1000cp","2005Q1","625.7"
"r_2","BG42","0","1","1000cp","2005Q1","337.1"
"r_2","BG42","0","2","1000cp","2005Q1","288.6"
"r_2","BG42","15 - 64_gr","0","1000cp","2005Q1","618.4"
"r_2","BG42","15 - 64_gr","1","1000cp","2005Q1","332.5"
"r_2","BG42","15 - 64_gr","2","1000cp","2005Q1","285.9"
"r_2","BG","0","0","1000cp","2005Q2","3341.8"
"r_2","BG","0","1","1000cp","2005Q2","1787.4"
"r_2","BG","0","2","1000cp","2005Q2","1554.4"
