RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","I","2024","total","BGN_tabl","17044"
"r_13","I","2024","1","BGN_tabl","20761"
"r_13","I","2024","2","BGN_tabl","16917"
"r_13","J","2008","total","BGN_tabl","13984"
"r_13","J","2008","1","BGN_tabl","10787"
"r_13","J","2008","2","BGN_tabl","14295"
"r_13","J","2009","total","BGN_tabl","15641"
"r_13","J","2009","1","BGN_tabl","11051"
"r_13","J","2009","2","BGN_tabl","16022"
"r_13","J","2010","total","BGN_tabl","16729"
"r_13","J","2010","1","BGN_tabl","11141"
"r_13","J","2010","2","BGN_tabl","17190"
"r_13","J","2011","total","BGN_tabl","18771"
"r_13","J","2011","1","BGN_tabl","11790"
"r_13","J","2011","2","BGN_tabl","19254"
"r_13","J","2012","total","BGN_tabl","20362"
"r_13","J","2012","1","BGN_tabl","11927"
"r_13","J","2012","2","BGN_tabl","20908"
"r_13","J","2013","total","BGN_tabl","21988"
"r_13","J","2013","1","BGN_tabl","12835"
"r_13","J","2013","2","BGN_tabl","22560"
"r_13","J","2014","total","BGN_tabl","22806"
"r_13","J","2014","1","BGN_tabl","13597"
"r_13","J","2014","2","BGN_tabl","23351"
"r_13","J","2015","total","BGN_tabl","24255"
"r_13","J","2015","1","BGN_tabl","13628"
"r_13","J","2015","2","BGN_tabl","24818"
"r_13","J","2016","total","BGN_tabl","27535"
"r_13","J","2016","1","BGN_tabl","14342"
"r_13","J","2016","2","BGN_tabl","28150"
"r_13","J","2017","total","BGN_tabl","29945"
"r_13","J","2017","1","BGN_tabl","14972"
"r_13","J","2017","2","BGN_tabl","30613"
"r_13","J","2018","total","BGN_tabl","33340"
"r_13","J","2018","1","BGN_tabl","16180"
"r_13","J","2018","2","BGN_tabl","34042"
"r_13","J","2019","total","BGN_tabl","37016"
"r_13","J","2019","1","BGN_tabl","18623"
"r_13","J","2019","2","BGN_tabl","37710"
"r_13","J","2020","total","BGN_tabl","40726"
"r_13","J","2020","1","BGN_tabl","20521"
"r_13","J","2020","2","BGN_tabl","41461"
"r_13","J","2021","total","BGN_tabl","45232"
"r_13","J","2021","1","BGN_tabl","25204"
"r_13","J","2021","2","BGN_tabl","45916"
"r_13","J","2022","total","BGN_tabl","52336"
"r_13","J","2022","1","BGN_tabl","27388"
"r_13","J","2022","2","BGN_tabl","53097"
"r_13","J","2023","total","BGN_tabl","59598"
"r_13","J","2023","1","BGN_tabl","32695"
"r_13","J","2023","2","BGN_tabl","60396"
"r_13","J","2024","total","BGN_tabl","64537"
"r_13","J","2024","1","BGN_tabl","35609"
"r_13","J","2024","2","BGN_tabl","65394"
"r_13","K","2008","total","BGN_tabl","14582"
"r_13","K","2008","1","BGN_tabl","17584"
"r_13","K","2008","2","BGN_tabl","14460"
"r_13","K","2009","total","BGN_tabl","15410"
"r_13","K","2009","1","BGN_tabl","17671"
"r_13","K","2009","2","BGN_tabl","15323"
"r_13","K","2010","total","BGN_tabl","16206"
"r_13","K","2010","1","BGN_tabl","18710"
"r_13","K","2010","2","BGN_tabl","16107"
"r_13","K","2011","total","BGN_tabl","17180"
"r_13","K","2011","1","BGN_tabl","18572"
"r_13","K","2011","2","BGN_tabl","17128"
"r_13","K","2012","total","BGN_tabl","17429"
