RevisionColumn,periods,Units,Indicators,NUTS,ValueColumn
"r_2","2015IX","num","3.5.2.1.2","BG425","952"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG425","260220"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG425","199688"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG425","60532"
"r_2","2015IX","num","3.5.2.5","BG423","54"
"r_2","2015IX","num","3.5.2.4","BG423","4021"
"r_2","2015IX","num","3.5.2.6","BG423","117367"
"r_2","2015IX","num","3.5.2.2","BG423","42505"
"r_2","2015IX","num","3.5.2.2.1","BG423","36858"
"r_2","2015IX","num","3.5.2.2.2","BG423","5647"
"r_2","2015IX","num","3.5.2.1","BG423","14931"
"r_2","2015IX","num","3.5.2.1.1","BG423","13518"
"r_2","2015IX","num","3.5.2.1.2","BG423","1413"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG423","1920788"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG423","1597016"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG423","323772"
"r_2","2015IX","num","3.5.2.5","BG421","179"
"r_2","2015IX","num","3.5.2.4","BG421","9351"
"r_2","2015IX","num","3.5.2.6","BG421","274647"
"r_2","2015IX","num","3.5.2.2","BG421","87650"
"r_2","2015IX","num","3.5.2.2.1","BG421","57347"
"r_2","2015IX","num","3.5.2.2.2","BG421","30303"
"r_2","2015IX","num","3.5.2.1","BG421","39983"
"r_2","2015IX","num","3.5.2.1.1","BG421","27437"
"r_2","2015IX","num","3.5.2.1.2","BG421","12546"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG421","3636792"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG421","2248260"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG421","1388532"
"r_2","2015IX","num","3.5.2.5","BG424","248"
"r_2","2015IX","num","3.5.2.4","BG424","9361"
"r_2","2015IX","num","3.5.2.6","BG424","265959"
"r_2","2015IX","num","3.5.2.2","BG424","33142"
"r_2","2015IX","num","3.5.2.2.1","BG424","30385"
"r_2","2015IX","num","3.5.2.2.2","BG424","2757"
"r_2","2015IX","num","3.5.2.1","BG424","15888"
"r_2","2015IX","num","3.5.2.1.1","BG424","14551"
"r_2","2015IX","num","3.5.2.1.2","BG424","1337"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG424","967967"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG424","861908"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG424","106059"
"r_2","2015IX","num","3.5.2.5","BG422","36"
"r_2","2015IX","num","3.5.2.4","BG422","1378"
"r_2","2015IX","num","3.5.2.6","BG422","40227"
"r_2","2015IX","num","3.5.2.2","BG422","7763"
"r_2","2015IX","num","3.5.2.2.1","BG422","6005"
"r_2","2015IX","num","3.5.2.2.2","BG422","1758"
"r_2","2015IX","num","3.5.2.1","BG422","4621"
"r_2","2015IX","num","3.5.2.1.1","BG422","3325"
"r_2","2015IX","num","3.5.2.1.2","BG422","1296"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG422","324197"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG422","250966"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG422","73231"
"r_3","2015X","num","3.5.2.5","BG","2020"
"r_3","2015X","num","3.5.2.4","BG","150422"
"r_3","2015X","num","3.5.2.6","BG","3957104"
"r_3","2015X","num","3.5.2.2","BG","727831"
"r_3","2015X","num","3.5.2.2.1","BG","446905"
"r_3","2015X","num","3.5.2.2.2","BG","280926"
"r_3","2015X","num","3.5.2.1","BG","361726"
"r_3","2015X","num","3.5.2.1.1","BG","237861"
"r_3","2015X","num","3.5.2.1.2","BG","123865"
"r_3","2015X","BGN_tabl","3.5.2.3","BG","35989169"
