RevisionColumn,PlaceResidence,Units,periods,GenderID,ValueColumn
"r_2","1","1000cp","2011Q2","1","1343.7"
"r_2","1","1000cp","2011Q2","2","1228.9"
"r_2","2","1000cp","2011Q2","0","745.7"
"r_2","2","1000cp","2011Q2","1","432.9"
"r_2","2","1000cp","2011Q2","2","312.7"
"r_2","0","1000cp","2011Q3","0","3383"
"r_2","0","1000cp","2011Q3","1","1809.6"
"r_2","0","1000cp","2011Q3","2","1573.3"
"r_2","1","1000cp","2011Q3","0","2623.7"
"r_2","1","1000cp","2011Q3","1","1372.7"
"r_2","1","1000cp","2011Q3","2","1251"
"r_2","2","1000cp","2011Q3","0","759.3"
"r_2","2","1000cp","2011Q3","1","437"
"r_2","2","1000cp","2011Q3","2","322.3"
"r_2","0","1000cp","2011Q4","0","3358"
"r_2","0","1000cp","2011Q4","1","1785.5"
"r_2","0","1000cp","2011Q4","2","1572.5"
"r_2","1","1000cp","2011Q4","0","2610.8"
"r_2","1","1000cp","2011Q4","1","1359.5"
"r_2","1","1000cp","2011Q4","2","1251.3"
"r_2","2","1000cp","2011Q4","0","747.2"
"r_2","2","1000cp","2011Q4","1","426"
"r_2","2","1000cp","2011Q4","2","321.2"
"r_2","0","1000cp","2012Q1","0","3274.6"
"r_2","0","1000cp","2012Q1","1","1744.9"
"r_2","0","1000cp","2012Q1","2","1529.7"
"r_2","1","1000cp","2012Q1","0","2562.6"
"r_2","1","1000cp","2012Q1","1","1331.9"
"r_2","1","1000cp","2012Q1","2","1230.7"
"r_2","2","1000cp","2012Q1","0","712"
"r_2","2","1000cp","2012Q1","1","413"
"r_2","2","1000cp","2012Q1","2","299.1"
"r_2","0","1000cp","2012Q2","0","3323.3"
"r_2","0","1000cp","2012Q2","1","1771.4"
"r_2","0","1000cp","2012Q2","2","1551.9"
"r_2","1","1000cp","2012Q2","0","2590.4"
"r_2","1","1000cp","2012Q2","1","1351.4"
"r_2","1","1000cp","2012Q2","2","1239"
"r_2","2","1000cp","2012Q2","0","732.9"
"r_2","2","1000cp","2012Q2","1","420"
"r_2","2","1000cp","2012Q2","2","312.9"
"r_2","0","1000cp","2012Q3","0","3410.3"
"r_2","0","1000cp","2012Q3","1","1816.1"
"r_2","0","1000cp","2012Q3","2","1594.2"
"r_2","1","1000cp","2012Q3","0","2643.7"
"r_2","1","1000cp","2012Q3","1","1380"
"r_2","1","1000cp","2012Q3","2","1263.7"
"r_2","2","1000cp","2012Q3","0","766.6"
"r_2","2","1000cp","2012Q3","1","436.1"
"r_2","2","1000cp","2012Q3","2","330.6"
"r_2","0","1000cp","2012Q4","0","3369.1"
"r_2","0","1000cp","2012Q4","1","1798.7"
"r_2","0","1000cp","2012Q4","2","1570.3"
"r_2","1","1000cp","2012Q4","0","2627"
"r_2","1","1000cp","2012Q4","1","1367"
"r_2","1","1000cp","2012Q4","2","1260"
"r_2","2","1000cp","2012Q4","0","742"
"r_2","2","1000cp","2012Q4","1","431.8"
"r_2","2","1000cp","2012Q4","2","310.3"
"r_2","0","1000cp","2013Q1","0","3311.4"
"r_2","0","1000cp","2013Q1","1","1766.6"
"r_2","0","1000cp","2013Q1","2","1544.8"
"r_2","1","1000cp","2013Q1","0","2599.5"
"r_2","1","1000cp","2013Q1","1","1353.1"
"r_2","1","1000cp","2013Q1","2","1246.4"
"r_2","2","1000cp","2013Q1","0","711.9"
"r_2","2","1000cp","2013Q1","1","413.5"
"r_2","2","1000cp","2013Q1","2","298.4"
"r_2","0","1000cp","2013Q2","0","3377.4"
"r_2","0","1000cp","2013Q2","1","1792.2"
"r_2","0","1000cp","2013Q2","2","1585.3"
"r_2","1","1000cp","2013Q2","0","2630.8"
"r_2","1","1000cp","2013Q2","1","1366.7"
"r_2","1","1000cp","2013Q2","2","1264.1"
"r_2","2","1000cp","2013Q2","0","746.7"
"r_2","2","1000cp","2013Q2","1","425.4"
"r_2","2","1000cp","2013Q2","2","321.2"
"r_2","0","1000cp","2013Q3","0","3424.5"
"r_2","0","1000cp","2013Q3","1","1822.6"
"r_2","0","1000cp","2013Q3","2","1602"
"r_2","1","1000cp","2013Q3","0","2656.7"
"r_2","1","1000cp","2013Q3","1","1385.8"
"r_2","1","1000cp","2013Q3","2","1270.8"
"r_2","2","1000cp","2013Q3","0","767.9"
"r_2","2","1000cp","2013Q3","1","436.8"
"r_2","2","1000cp","2013Q3","2","331.1"
"r_2","0","1000cp","2013Q4","0","3371.4"
"r_2","0","1000cp","2013Q4","1","1805.1"
"r_2","0","1000cp","2013Q4","2","1566.3"
"r_2","1","1000cp","2013Q4","0","2637.4"
"r_2","1","1000cp","2013Q4","1","1376.3"
"r_2","1","1000cp","2013Q4","2","1261.1"
"r_2","2","1000cp","2013Q4","0","734.1"
"r_2","2","1000cp","2013Q4","1","428.8"
"r_2","2","1000cp","2013Q4","2","305.2"
"r_2","0","1000cp","2014Q1","0","3327.1"
"r_2","0","1000cp","2014Q1","1","1780.7"
"r_2","0","1000cp","2014Q1","2","1546.5"
"r_2","1","1000cp","2014Q1","0","2622.4"
"r_2","1","1000cp","2014Q1","1","1371.5"
"r_2","1","1000cp","2014Q1","2","1250.9"
"r_2","2","1000cp","2014Q1","0","704.7"
"r_2","2","1000cp","2014Q1","1","409.2"
"r_2","2","1000cp","2014Q1","2","295.5"
"r_2","0","1000cp","2014Q2","0","3361.6"
"r_2","0","1000cp","2014Q2","1","1800.4"
"r_2","0","1000cp","2014Q2","2","1561.2"
"r_2","1","1000cp","2014Q2","0","2631.6"
"r_2","1","1000cp","2014Q2","1","1379.2"
"r_2","1","1000cp","2014Q2","2","1252.4"
"r_2","2","1000cp","2014Q2","0","730"
"r_2","2","1000cp","2014Q2","1","421.2"
"r_2","2","1000cp","2014Q2","2","308.8"
"r_2","0","1000cp","2014Q3","0","3430.7"
"r_2","0","1000cp","2014Q3","1","1835.8"
"r_2","0","1000cp","2014Q3","2","1594.9"
"r_2","1","1000cp","2014Q3","0","2670.6"
"r_2","1","1000cp","2014Q3","1","1398.3"
"r_2","1","1000cp","2014Q3","2","1272.3"
"r_2","2","1000cp","2014Q3","0","760.1"
"r_2","2","1000cp","2014Q3","1","437.5"
"r_2","2","1000cp","2014Q3","2","322.6"
"r_2","0","1000cp","2014Q4","0","3344.2"
"r_2","0","1000cp","2014Q4","1","1777.4"
"r_2","0","1000cp","2014Q4","2","1566.7"
"r_2","1","1000cp","2014Q4","0","2622"
"r_2","1","1000cp","2014Q4","1","1355.1"
"r_2","1","1000cp","2014Q4","2","1267"
"r_2","2","1000cp","2014Q4","0","722.1"
"r_2","2","1000cp","2014Q4","1","422.4"
"r_2","2","1000cp","2014Q4","2","299.8"
"r_2","0","1000cp","2015Q1","0","3299"
"r_2","0","1000cp","2015Q1","1","1761.7"
"r_2","0","1000cp","2015Q1","2","1537.3"
"r_2","1","1000cp","2015Q1","0","2599.5"
"r_2","1","1000cp","2015Q1","1","1350.4"
"r_2","1","1000cp","2015Q1","2","1249.1"
"r_2","2","1000cp","2015Q1","0","699.5"
"r_2","2","1000cp","2015Q1","1","411.3"
"r_2","2","1000cp","2015Q1","2","288.2"
"r_2","0","1000cp","2015Q2","0","3342.1"
"r_2","0","1000cp","2015Q2","1","1790.4"
"r_2","0","1000cp","2015Q2","2","1551.7"
"r_2","1","1000cp","2015Q2","0","2620.6"
"r_2","1","1000cp","2015Q2","1","1371"
"r_2","1","1000cp","2015Q2","2","1249.5"
"r_2","2","1000cp","2015Q2","0","721.5"
"r_2","2","1000cp","2015Q2","1","419.4"
"r_2","2","1000cp","2015Q2","2","302.1"
"r_2","0","1000cp","2015Q3","0","3384"
"r_2","0","1000cp","2015Q3","1","1805.1"
"r_2","0","1000cp","2015Q3","2","1578.9"
"r_2","1","1000cp","2015Q3","0","2629.1"
"r_2","1","1000cp","2015Q3","1","1369.8"
"r_2","1","1000cp","2015Q3","2","1259.3"
"r_2","2","1000cp","2015Q3","0","754.9"
"r_2","2","1000cp","2015Q3","1","435.3"
"r_2","2","1000cp","2015Q3","2","319.5"
"r_2","0","1000cp","2015Q4","0","3322.8"
"r_2","0","1000cp","2015Q4","1","1769.6"
"r_2","0","1000cp","2015Q4","2","1553.1"
"r_2","1","1000cp","2015Q4","0","2603.5"
"r_2","1","1000cp","2015Q4","1","1349"
"r_2","1","1000cp","2015Q4","2","1254.5"
"r_2","2","1000cp","2015Q4","0","719.2"
"r_2","2","1000cp","2015Q4","1","420.6"
"r_2","2","1000cp","2015Q4","2","298.7"
"r_3","0","1000cp","2016Q1","0","3254.7"
"r_3","0","1000cp","2016Q1","1","1748.8"
"r_3","0","1000cp","2016Q1","2","1505.9"
"r_3","1","1000cp","2016Q1","0","2558.3"
"r_3","1","1000cp","2016Q1","1","1340.2"
"r_3","1","1000cp","2016Q1","2","1218.1"
"r_3","2","1000cp","2016Q1","0","696.4"
"r_3","2","1000cp","2016Q1","1","408.6"
"r_3","2","1000cp","2016Q1","2","287.8"
"r_4","0","1000cp","2016Q2","0","3298.9"
"r_4","0","1000cp","2016Q2","1","1763.9"
"r_4","0","1000cp","2016Q2","2","1535"
"r_4","1","1000cp","2016Q2","0","2576.4"
"r_4","1","1000cp","2016Q2","1","1343.3"
"r_4","1","1000cp","2016Q2","2","1233.1"
"r_4","2","1000cp","2016Q2","0","722.5"
"r_4","2","1000cp","2016Q2","1","420.6"
"r_4","2","1000cp","2016Q2","2","301.9"
"r_5","0","1000cp","2016Q3","0","3281.7"
"r_5","0","1000cp","2016Q3","1","1753.8"
"r_5","0","1000cp","2016Q3","2","1528"
"r_5","1","1000cp","2016Q3","0","2570"
"r_5","1","1000cp","2016Q3","1","1339.1"
"r_5","1","1000cp","2016Q3","2","1230.9"
"r_5","2","1000cp","2016Q3","0","711.8"
"r_5","2","1000cp","2016Q3","1","414.7"
"r_5","2","1000cp","2016Q3","2","297.1"
"r_6","0","1000cp","2016Q4","0","3220.8"
"r_6","0","1000cp","2016Q4","1","1730.9"
"r_6","0","1000cp","2016Q4","2","1489.9"
"r_6","1","1000cp","2016Q4","0","2549.7"
"r_6","1","1000cp","2016Q4","1","1332.3"
"r_6","1","1000cp","2016Q4","2","1217.4"
"r_6","2","1000cp","2016Q4","0","671.1"
"r_6","2","1000cp","2016Q4","1","398.5"
"r_6","2","1000cp","2016Q4","2","272.6"
"r_7","0","1000cp","2017Q1","0","3261.1"
"r_7","0","1000cp","2017Q1","1","1743.6"
"r_7","0","1000cp","2017Q1","2","1517.4"
"r_7","1","1000cp","2017Q1","0","2567.1"
"r_7","1","1000cp","2017Q1","1","1336.3"
"r_7","1","1000cp","2017Q1","2","1230.8"
"r_7","2","1000cp","2017Q1","0","694"
"r_7","2","1000cp","2017Q1","1","407.4"
"r_7","2","1000cp","2017Q1","2","286.6"
"r_8","0","1000cp","2017Q2","0","3385.6"
"r_8","0","1000cp","2017Q2","1","1805.3"
"r_8","0","1000cp","2017Q2","2","1580.4"
"r_8","1","1000cp","2017Q2","0","2634.1"
"r_8","1","1000cp","2017Q2","1","1372.1"
"r_8","1","1000cp","2017Q2","2","1262"
"r_8","2","1000cp","2017Q2","0","751.6"
"r_8","2","1000cp","2017Q2","1","433.2"
"r_8","2","1000cp","2017Q2","2","318.4"
"r_9","0","1000cp","2017Q3","0","3425.2"
"r_9","0","1000cp","2017Q3","1","1832.3"
"r_9","0","1000cp","2017Q3","2","1592.9"
"r_9","1","1000cp","2017Q3","0","2656.2"
"r_9","1","1000cp","2017Q3","1","1380.6"
"r_9","1","1000cp","2017Q3","2","1275.6"
"r_9","2","1000cp","2017Q3","0","769"
"r_9","2","1000cp","2017Q3","1","451.7"
"r_9","2","1000cp","2017Q3","2","317.3"
"r_10","0","1000cp","2017Q4","0","3356.9"
"r_10","0","1000cp","2017Q4","1","1805.7"
"r_10","0","1000cp","2017Q4","2","1551.2"
"r_10","1","1000cp","2017Q4","0","2617"
"r_10","1","1000cp","2017Q4","1","1368.2"
"r_10","1","1000cp","2017Q4","2","1248.8"
"r_10","2","1000cp","2017Q4","0","740"
"r_10","2","1000cp","2017Q4","1","437.5"
"r_10","2","1000cp","2017Q4","2","302.4"
"r_11","0","1000cp","2018Q1","0","3288.1"
"r_11","0","1000cp","2018Q1","1","1767.4"
