RevisionColumn,NACE2008A21,periods,SZCLS_EMPL,Indicators,Units,ValueColumn
"r_1","A","2020","0","3.1.1.03.2","num","81314"
"r_1","A","2020","0","3.1.1.03.3","1000BGN","8893402"
"r_1","A","2020","0","3.1.1.03.4","1000BGN","10216381"
"r_1","A","2020","0","3.1.1.03.5","1000BGN","9097242"
"r_1","A","2008","1","3.1.1.03.1","num","7014"
"r_1","A","2008","1","3.1.1.03.2","num","16790"
"r_1","A","2008","1","3.1.1.03.3","1000BGN","921779"
"r_1","A","2008","1","3.1.1.03.4","1000BGN","1426884"
"r_1","A","2008","1","3.1.1.03.5","1000BGN","1185216"
"r_1","A","2009","1","3.1.1.03.1","num","9605"
"r_1","A","2009","1","3.1.1.03.2","num","20699"
"r_1","A","2009","1","3.1.1.03.3","1000BGN","1103705"
"r_1","A","2009","1","3.1.1.03.4","1000BGN","1604214"
"r_1","A","2009","1","3.1.1.03.5","1000BGN","1400842"
"r_1","A","2010","1","3.1.1.03.1","num","11581"
"r_1","A","2010","1","3.1.1.03.2","num","23069"
"r_1","A","2010","1","3.1.1.03.3","1000BGN","1298793"
"r_1","A","2010","1","3.1.1.03.4","1000BGN","1861658"
"r_1","A","2010","1","3.1.1.03.5","1000BGN","1586958"
"r_1","A","2011","1","3.1.1.03.1","num","12990"
"r_1","A","2011","1","3.1.1.03.2","num","25687"
"r_1","A","2011","1","3.1.1.03.3","1000BGN","1638894"
"r_1","A","2011","1","3.1.1.03.4","1000BGN","2462911"
"r_1","A","2011","1","3.1.1.03.5","1000BGN","2025678"
"r_1","A","2012","1","3.1.1.03.1","num","14445"
"r_1","A","2012","1","3.1.1.03.2","num","27484"
"r_1","A","2012","1","3.1.1.03.3","1000BGN","1990939"
"r_1","A","2012","1","3.1.1.03.4","1000BGN","2821187"
"r_1","A","2012","1","3.1.1.03.5","1000BGN","2377386"
"r_1","A","2013","1","3.1.1.03.1","num","15544"
"r_1","A","2013","1","3.1.1.03.2","num","29039"
"r_1","A","2013","1","3.1.1.03.3","1000BGN","2138936"
"r_1","A","2013","1","3.1.1.03.4","1000BGN","3108304"
"r_1","A","2013","1","3.1.1.03.5","1000BGN","2761011"
"r_1","A","2014","1","3.1.1.03.1","num","15806"
"r_1","A","2014","1","3.1.1.03.2","num","29730"
"r_1","A","2014","1","3.1.1.03.3","1000BGN","2292479"
"r_1","A","2014","1","3.1.1.03.4","1000BGN","3384791"
"r_1","A","2014","1","3.1.1.03.5","1000BGN","2913800"
"r_1","A","2015","1","3.1.1.03.1","num","17276"
"r_1","A","2015","1","3.1.1.03.2","num","31562"
"r_1","A","2015","1","3.1.1.03.3","1000BGN","2807834"
"r_1","A","2015","1","3.1.1.03.4","1000BGN","3391685"
"r_1","A","2015","1","3.1.1.03.5","1000BGN","3001739"
"r_1","A","2016","1","3.1.1.03.1","num","18130"
"r_1","A","2016","1","3.1.1.03.2","num","34394"
"r_1","A","2016","1","3.1.1.03.3","1000BGN","2913628"
"r_1","A","2016","1","3.1.1.03.4","1000BGN","3802097"
"r_1","A","2016","1","3.1.1.03.5","1000BGN","3277113"
"r_1","A","2017","1","3.1.1.03.1","num","18079"
"r_1","A","2017","1","3.1.1.03.2","num","34682"
"r_1","A","2017","1","3.1.1.03.3","1000BGN","3060243"
"r_1","A","2017","1","3.1.1.03.4","1000BGN","3942903"
"r_1","A","2017","1","3.1.1.03.5","1000BGN","3352887"
"r_1","A","2018","1","3.1.1.03.1","num","18149"
"r_1","A","2018","1","3.1.1.03.2","num","34861"
"r_1","A","2018","1","3.1.1.03.3","1000BGN","3291298"
