RevisionColumn,HBS_Meassure,HBS_OD,Residence,periods,ValueColumn
"r_10","2","11","2","2021","6149"
"r_10","2","11","0","2022","9008"
"r_10","2","11","1","2022","9539"
"r_10","2","11","2","2022","7439"
"r_10","2","111","0","2008","3280"
"r_10","2","111","1","2008","3571"
"r_10","2","111","2","2008","2613"
"r_10","2","111","0","2009","3536"
"r_10","2","111","1","2009","3817"
"r_10","2","111","2","2009","2873"
"r_10","2","111","0","2010","3474"
"r_10","2","111","1","2010","3689"
"r_10","2","111","2","2010","2902"
"r_10","2","111","0","2011","3625"
"r_10","2","111","1","2011","3891"
"r_10","2","111","2","2011","2904"
"r_10","2","111","0","2012","4121"
"r_10","2","111","1","2012","4426"
"r_10","2","111","2","2012","3213"
"r_10","2","111","0","2013","4541"
"r_10","2","111","1","2013","4902"
"r_10","2","111","2","2013","3412"
"r_10","2","111","0","2014","4643"
"r_10","2","111","1","2014","5008"
"r_10","2","111","2","2014","3472"
"r_10","2","111","0","2015","4788"
"r_10","2","111","1","2015","5184"
"r_10","2","111","2","2015","3529"
"r_10","2","111","0","2016","4989"
"r_10","2","111","1","2016","5383"
"r_10","2","111","2","2016","3869"
"r_10","2","111","0","2017","5336"
"r_10","2","111","1","2017","5792"
"r_10","2","111","2","2017","4078"
"r_10","2","111","0","2018","5747"
"r_10","2","111","1","2018","6228"
"r_10","2","111","2","2018","4419"
"r_10","2","111","0","2019","6325"
"r_10","2","111","1","2019","6883"
"r_10","2","111","2","2019","4830"
"r_10","2","111","0","2020","6749"
"r_10","2","111","1","2020","7288"
"r_10","2","111","2","2020","5266"
"r_10","2","111","0","2021","7434"
"r_10","2","111","1","2021","7974"
"r_10","2","111","2","2021","5872"
"r_10","2","111","0","2022","8720"
"r_10","2","111","1","2022","9252"
"r_10","2","111","2","2022","7151"
"r_10","2","1111","0","2008","1816"
"r_10","2","1111","1","2008","2137"
"r_10","2","1111","2","2008","1080"
"r_10","2","1111","0","2009","1928"
