RevisionColumn,HBS_Meassure,HBS_PD,periods,Residence,ValueColumn
"r_1","3","111","2014","0","55.1"
"r_1","3","111","2014","1","58.1"
"r_1","3","111","2014","2","41"
"r_1","3","112","2008","0","5"
"r_1","3","112","2008","1","5.1"
"r_1","3","112","2008","2","4.7"
"r_1","3","112","2009","0","4.2"
"r_1","3","112","2009","1","4.2"
"r_1","3","112","2009","2","4.2"
"r_1","3","112","2010","0","2.1"
"r_1","3","112","2010","1","2.1"
"r_1","3","112","2010","2","2.1"
"r_1","3","112","2011","0","1.3"
"r_1","3","112","2011","1","1.3"
"r_1","3","112","2011","2","1.3"
"r_1","3","112","2012","0","2.5"
"r_1","3","112","2012","1","2.7"
"r_1","3","112","2012","2","2.1"
"r_1","3","112","2013","0","3.8"
"r_1","3","112","2013","1","3.9"
"r_1","3","112","2013","2","3.3"
"r_1","3","112","2014","0","3.5"
"r_1","3","112","2014","1","3.5"
"r_1","3","112","2014","2","3.7"
"r_1","3","113","2008","0","5.3"
"r_1","3","113","2008","1","4.9"
"r_1","3","113","2008","2","6.3"
"r_1","3","113","2009","0","4.9"
"r_1","3","113","2009","1","4.5"
"r_1","3","113","2009","2","6.3"
"r_1","3","113","2010","0","4.9"
"r_1","3","113","2010","1","5"
"r_1","3","113","2010","2","4.5"
"r_1","3","113","2011","0","6.5"
"r_1","3","113","2011","1","7.1"
"r_1","3","113","2011","2","4.1"
"r_1","3","113","2012","0","6.5"
"r_1","3","113","2012","1","6.7"
"r_1","3","113","2012","2","5.6"
"r_1","3","113","2013","0","5.8"
"r_1","3","113","2013","1","5.9"
"r_1","3","113","2013","2","5"
"r_1","3","113","2014","0","6.6"
"r_1","3","113","2014","1","6.7"
"r_1","3","113","2014","2","6.3"
"r_1","3","114","2008","0","0.9"
"r_1","3","114","2008","1","1"
"r_1","3","114","2008","2","0.6"
"r_1","3","114","2009","0","0.7"
"r_1","3","114","2009","1","0.7"
"r_1","3","114","2009","2","0.4"
"r_1","3","114","2010","0","0.8"
"r_1","3","114","2010","1","0.9"
"r_1","3","114","2010","2","0.5"
"r_1","3","114","2011","0","0.7"
"r_1","3","114","2011","1","0.6"
"r_1","3","114","2011","2","0.8"
"r_1","3","114","2012","0","1"
"r_1","3","114","2012","1","0.9"
"r_1","3","114","2012","2","1.1"
"r_1","3","114","2013","0","1.1"
"r_1","3","114","2013","1","1.1"
"r_1","3","114","2013","2","1"
"r_1","3","114","2014","0","0.8"
"r_1","3","114","2014","1","0.8"
"r_1","3","114","2014","2","0.9"
"r_1","3","115","2008","0","24.1"
"r_1","3","115","2008","1","21.7"
"r_1","3","115","2008","2","31.6"
"r_1","3","115","2009","0","28.6"
"r_1","3","115","2009","1","25.9"
"r_1","3","115","2009","2","37.2"
"r_1","3","115","2010","0","31.6"
"r_1","3","115","2010","1","28.9"
"r_1","3","115","2010","2","41"
"r_1","3","115","2011","0","30.7"
"r_1","3","115","2011","1","27.6"
"r_1","3","115","2011","2","42.1"
"r_1","3","115","2012","0","27.2"
"r_1","3","115","2012","1","24.6"
"r_1","3","115","2012","2","38"
"r_1","3","115","2013","0","26"
"r_1","3","115","2013","1","23.3"
"r_1","3","115","2013","2","38.3"
"r_1","3","115","2014","0","26.2"
"r_1","3","115","2014","1","23.6"
"r_1","3","115","2014","2","38.2"
"r_1","3","116","2008","0","0.2"
"r_1","3","116","2008","1","0.2"
"r_1","3","116","2008","2","0.3"
"r_1","3","116","2009","0","0.6"
"r_1","3","116","2009","1","0.5"
"r_1","3","116","2009","2","0.7"
"r_1","3","116","2010","0","0.6"
"r_1","3","116","2010","1","0.6"
"r_1","3","116","2010","2","0.7"
"r_1","3","116","2011","0","0.7"
"r_1","3","116","2011","1","0.7"
"r_1","3","116","2011","2","0.7"
"r_1","3","116","2012","0","0.7"
"r_1","3","116","2012","1","0.6"
