RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_2","1","5","9","perc_pop_fig","2010","48.3"
"r_2","1","5","9","perc_pop_fig","2011","52.6"
"r_2","1","5","9","perc_pop_fig","2012","55.9"
"r_2","1","5","9","perc_pop_fig","2013","52.5"
"r_2","1","5","9","perc_pop_fig","2014","45.2"
"r_2","2","5","9","perc_pop_fig","2008","44.3"
"r_2","2","5","9","perc_pop_fig","2009","51.5"
"r_2","2","5","9","perc_pop_fig","2010","51.6"
"r_2","2","5","9","perc_pop_fig","2011","54.8"
"r_2","2","5","9","perc_pop_fig","2012","56.5"
"r_2","2","5","9","perc_pop_fig","2013","53.5"
"r_2","2","5","9","perc_pop_fig","2014","49.9"
"r_3","0","1","2","perc_pop_fig","2015","24.5"
"r_3","1","1","2","perc_pop_fig","2015","24.8"
"r_3","2","1","2","perc_pop_fig","2015","24.2"
"r_3","0","1","9","perc_pop_fig","2015","24.4"
"r_3","1","1","9","perc_pop_fig","2015","24.7"
"r_3","2","1","9","perc_pop_fig","2015","24.2"
"r_3","0","1","3","perc_pop_fig","2015","19.1"
"r_3","1","1","3","perc_pop_fig","2015","15.1"
"r_3","2","1","3","perc_pop_fig","2015","22.8"
"r_3","0","2","2","perc_pop_fig","2015","60"
"r_3","1","2","2","perc_pop_fig","2015","62.7"
"r_3","2","2","2","perc_pop_fig","2015","57.7"
"r_3","0","2","9","perc_pop_fig","2015","56.8"
"r_3","1","2","9","perc_pop_fig","2015","54.6"
"r_3","2","2","9","perc_pop_fig","2015","58.5"
"r_3","0","2","3","perc_pop_fig","2015","53.2"
"r_3","1","2","3","perc_pop_fig","2015","44.1"
"r_3","2","2","3","perc_pop_fig","2015","59.3"
"r_3","0","3","2","perc_pop_fig","2015","76.5"
"r_3","1","3","2","perc_pop_fig","2015","76.5"
"r_3","2","3","2","perc_pop_fig","2015","76.5"
"r_3","0","3","9","perc_pop_fig","2015","76.7"
"r_3","1","3","9","perc_pop_fig","2015","76.9"
"r_3","2","3","9","perc_pop_fig","2015","76.4"
"r_3","0","4","2","perc_pop_fig","2015","40.2"
