RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_2","15 - 64","1000cp","2006Q2","0","3408.2"
"r_2","15 - 64","1000cp","2006Q2","1","1798.4"
"r_2","15 - 64","1000cp","2006Q2","2","1609.8"
"r_2","20 - 64","1000cp","2006Q2","0","3366.7"
"r_2","20 - 64","1000cp","2006Q2","1","1777.2"
"r_2","20 - 64","1000cp","2006Q2","2","1589.5"
"r_2","15 - 29","1000cp","2006Q2","0","656.2"
"r_2","15 - 29","1000cp","2006Q2","1","367.2"
"r_2","15 - 29","1000cp","2006Q2","2","289"
"r_2","15 - 24","1000cp","2006Q2","0","299.7"
"r_2","15 - 24","1000cp","2006Q2","1","167.8"
"r_2","15 - 24","1000cp","2006Q2","2","131.9"
"r_2","25 - 34","1000cp","2006Q2","0","810.4"
"r_2","25 - 34","1000cp","2006Q2","1","438.3"
"r_2","25 - 34","1000cp","2006Q2","2","372.1"
"r_2","35 - 44","1000cp","2006Q2","0","959.4"
"r_2","35 - 44","1000cp","2006Q2","1","494.5"
"r_2","35 - 44","1000cp","2006Q2","2","464.9"
"r_2","45 - 54","1000cp","2006Q2","0","918.5"
"r_2","45 - 54","1000cp","2006Q2","1","456.4"
"r_2","45 - 54","1000cp","2006Q2","2","462"
"r_2","55 - 64","1000cp","2006Q2","0","420.3"
"r_2","55 - 64","1000cp","2006Q2","1","241.4"
"r_2","55 - 64","1000cp","2006Q2","2","178.9"
"r_2","65+","1000cp","2006Q2","0","39.8"
"r_2","65+","1000cp","2006Q2","1","27.9"
"r_2","65+","1000cp","2006Q2","2","11.9"
"r_2","0","1000cp","2006Q3","0","3511.2"
"r_2","0","1000cp","2006Q3","1","1848.6"
"r_2","0","1000cp","2006Q3","2","1662.6"
"r_2","15 - 64","1000cp","2006Q3","0","3468.2"
"r_2","15 - 64","1000cp","2006Q3","1","1819.6"
"r_2","15 - 64","1000cp","2006Q3","2","1648.7"
"r_2","20 - 64","1000cp","2006Q3","0","3407"
"r_2","20 - 64","1000cp","2006Q3","1","1792.5"
"r_2","20 - 64","1000cp","2006Q3","2","1614.5"
"r_2","15 - 29","1000cp","2006Q3","0","678.2"
"r_2","15 - 29","1000cp","2006Q3","1","368"
