RevisionColumn,EKATTE,Units,periods,GenderID,ValueColumn
"r_1","BLG49","num","2010","2","60"
"r_1","BLG49","num","2011","0","125"
"r_1","BLG49","num","2011","1","62"
"r_1","BLG49","num","2011","2","63"
"r_1","BLG49","num","2012","0","148"
"r_1","BLG49","num","2012","1","71"
"r_1","BLG49","num","2012","2","77"
"r_1","BLG49","num","2013","0","133"
"r_1","BLG49","num","2013","1","67"
"r_1","BLG49","num","2013","2","66"
"r_1","BLG49","num","2014","0","115"
"r_1","BLG49","num","2014","1","57"
"r_1","BLG49","num","2014","2","58"
"r_1","BLG52","num","2000","0","141"
"r_1","BLG52","num","2000","1","79"
"r_1","BLG52","num","2000","2","62"
"r_1","BLG52","num","2001","0","123"
"r_1","BLG52","num","2001","1","67"
"r_1","BLG52","num","2001","2","56"
"r_1","BLG52","num","2002","0","159"
"r_1","BLG52","num","2002","1","82"
"r_1","BLG52","num","2002","2","77"
"r_1","BLG52","num","2003","0","134"
"r_1","BLG52","num","2003","1","69"
"r_1","BLG52","num","2003","2","65"
"r_1","BLG52","num","2004","0","113"
"r_1","BLG52","num","2004","1","62"
"r_1","BLG52","num","2004","2","51"
"r_1","BLG52","num","2005","0","157"
"r_1","BLG52","num","2005","1","87"
"r_1","BLG52","num","2005","2","70"
"r_1","BLG52","num","2006","0","134"
"r_1","BLG52","num","2006","1","72"
"r_1","BLG52","num","2006","2","62"
"r_1","BLG52","num","2007","0","152"
"r_1","BLG52","num","2007","1","87"
"r_1","BLG52","num","2007","2","65"
"r_1","BLG52","num","2008","0","130"
"r_1","BLG52","num","2008","1","75"
"r_1","BLG52","num","2008","2","55"
"r_1","BLG52","num","2009","0","135"
"r_1","BLG52","num","2009","1","88"
"r_1","BLG52","num","2009","2","47"
"r_1","BLG52","num","2010","0","129"
"r_1","BLG52","num","2010","1","72"
"r_1","BLG52","num","2010","2","57"
"r_1","BLG52","num","2011","0","127"
"r_1","BLG52","num","2011","1","74"
"r_1","BLG52","num","2011","2","53"
"r_1","BLG52","num","2012","0","143"
"r_1","BLG52","num","2012","1","71"
"r_1","BLG52","num","2012","2","72"
"r_1","BLG52","num","2013","0","140"
"r_1","BLG52","num","2013","1","85"
"r_1","BLG52","num","2013","2","55"
"r_1","BLG52","num","2014","0","141"
"r_1","BLG52","num","2014","1","69"
"r_1","BLG52","num","2014","2","72"
"r_1","BLG53","num","2000","0","107"
"r_1","BLG53","num","2000","1","62"
"r_1","BLG53","num","2000","2","45"
"r_1","BLG53","num","2001","0","131"
"r_1","BLG53","num","2001","1","75"
"r_1","BLG53","num","2001","2","56"
"r_1","BLG53","num","2002","0","104"
"r_1","BLG53","num","2002","1","60"
"r_1","BLG53","num","2002","2","44"
"r_1","BLG53","num","2003","0","128"
"r_1","BLG53","num","2003","1","68"
"r_1","BLG53","num","2003","2","60"
"r_1","BLG53","num","2004","0","127"
"r_1","BLG53","num","2004","1","70"
"r_1","BLG53","num","2004","2","57"
"r_1","BLG53","num","2005","0","149"
"r_1","BLG53","num","2005","1","80"
