RevisionColumn,periods,NUTS,Units,Ages_COD,GenderID,COD_ICD10ch,ValueColumn
"r_1","2015","BG","num","8","2","6","2"
"r_1","2015","BG","num","9","0","6","9"
"r_1","2015","BG","num","9","1","6","5"
"r_1","2015","BG","num","9","2","6","4"
"r_1","2015","BG","num","10","0","6","32"
"r_1","2015","BG","num","10","1","6","22"
"r_1","2015","BG","num","10","2","6","10"
"r_1","2015","BG","num","11","0","6","42"
"r_1","2015","BG","num","11","1","6","30"
"r_1","2015","BG","num","11","2","6","12"
"r_1","2015","BG","num","12","0","6","54"
"r_1","2015","BG","num","12","1","6","35"
"r_1","2015","BG","num","12","2","6","19"
"r_1","2015","BG","num","13","0","6","52"
"r_1","2015","BG","num","13","1","6","32"
"r_1","2015","BG","num","13","2","6","20"
"r_1","2015","BG","num","14","0","6","79"
"r_1","2015","BG","num","14","1","6","53"
"r_1","2015","BG","num","14","2","6","26"
"r_1","2015","BG","num","15","0","6","106"
"r_1","2015","BG","num","15","1","6","57"
"r_1","2015","BG","num","15","2","6","49"
"r_1","2015","BG","num","16","0","6","122"
"r_1","2015","BG","num","16","1","6","56"
"r_1","2015","BG","num","16","2","6","66"
"r_1","2015","BG","num","17","0","6","156"
"r_1","2015","BG","num","17","1","6","73"
"r_1","2015","BG","num","17","2","6","83"
"r_1","2015","BG","num","18","0","6","212"
"r_1","2015","BG","num","18","1","6","120"
"r_1","2015","BG","num","18","2","6","92"
"r_1","2015","BG","num","19","0","6","143"
"r_1","2015","BG","num","19","1","6","64"
"r_1","2015","BG","num","19","2","6","79"
"r_1","2015","BG","num","20","0","6","39"
"r_1","2015","BG","num","20","1","6","13"
"r_1","2015","BG","num","20","2","6","26"
"r_1","2015","BG","num","21","0","6","9"
"r_1","2015","BG","num","21","1","6","3"
"r_1","2015","BG","num","21","2","6","6"
"r_1","2015","BG","num","22","0","6","-"
"r_1","2015","BG","num","22","1","6","-"
"r_1","2015","BG","num","22","2","6","-"
"r_1","2015","BG","num","0","0","7","-"
"r_1","2015","BG","num","0","1","7","-"
"r_1","2015","BG","num","0","2","7","-"
"r_1","2015","BG","num","1","0","7","-"
"r_1","2015","BG","num","1","1","7","-"
"r_1","2015","BG","num","1","2","7","-"
