RevisionColumn,EKATTE,Units,periods,Gender_Child,ValueColumn
"r_1","BLG42","num","2006","2","87"
"r_1","BLG42","num","2007","0","192"
"r_1","BLG42","num","2007","1","102"
"r_1","BLG42","num","2007","2","90"
"r_1","BLG42","num","2008","0","216"
"r_1","BLG42","num","2008","1","119"
"r_1","BLG42","num","2008","2","97"
"r_1","BLG42","num","2009","0","168"
"r_1","BLG42","num","2009","1","97"
"r_1","BLG42","num","2009","2","71"
"r_1","BLG42","num","2010","0","140"
"r_1","BLG42","num","2010","1","68"
"r_1","BLG42","num","2010","2","72"
"r_1","BLG42","num","2011","0","135"
"r_1","BLG42","num","2011","1","66"
"r_1","BLG42","num","2011","2","69"
"r_1","BLG42","num","2012","0","121"
"r_1","BLG42","num","2012","1","64"
"r_1","BLG42","num","2012","2","57"
"r_1","BLG42","num","2013","0","117"
"r_1","BLG42","num","2013","1","68"
"r_1","BLG42","num","2013","2","49"
"r_1","BLG42","num","2014","0","138"
"r_1","BLG42","num","2014","1","76"
"r_1","BLG42","num","2014","2","62"
"r_1","BLG44","num","2000","0","139"
"r_1","BLG44","num","2000","1","73"
"r_1","BLG44","num","2000","2","66"
"r_1","BLG44","num","2001","0","118"
"r_1","BLG44","num","2001","1","68"
"r_1","BLG44","num","2001","2","50"
"r_1","BLG44","num","2002","0","114"
"r_1","BLG44","num","2002","1","60"
"r_1","BLG44","num","2002","2","54"
"r_1","BLG44","num","2003","0","124"
"r_1","BLG44","num","2003","1","63"
"r_1","BLG44","num","2003","2","61"
"r_1","BLG44","num","2004","0","121"
"r_1","BLG44","num","2004","1","58"
"r_1","BLG44","num","2004","2","63"
"r_1","BLG44","num","2005","0","149"
"r_1","BLG44","num","2005","1","77"
"r_1","BLG44","num","2005","2","72"
"r_1","BLG44","num","2006","0","147"
"r_1","BLG44","num","2006","1","80"
"r_1","BLG44","num","2006","2","67"
"r_1","BLG44","num","2007","0","146"
"r_1","BLG44","num","2007","1","81"
"r_1","BLG44","num","2007","2","65"
"r_1","BLG44","num","2008","0","159"
"r_1","BLG44","num","2008","1","85"
"r_1","BLG44","num","2008","2","74"
"r_1","BLG44","num","2009","0","143"
"r_1","BLG44","num","2009","1","70"
"r_1","BLG44","num","2009","2","73"
"r_1","BLG44","num","2010","0","151"
"r_1","BLG44","num","2010","1","73"
"r_1","BLG44","num","2010","2","78"
"r_1","BLG44","num","2011","0","126"
"r_1","BLG44","num","2011","1","65"
"r_1","BLG44","num","2011","2","61"
"r_1","BLG44","num","2012","0","120"
"r_1","BLG44","num","2012","1","62"
"r_1","BLG44","num","2012","2","58"
"r_1","BLG44","num","2013","0","116"
"r_1","BLG44","num","2013","1","63"
"r_1","BLG44","num","2013","2","53"
"r_1","BLG44","num","2014","0","103"
"r_1","BLG44","num","2014","1","49"
"r_1","BLG44","num","2014","2","54"
"r_1","BLG49","num","2000","0","51"
"r_1","BLG49","num","2000","1","28"
"r_1","BLG49","num","2000","2","23"
"r_1","BLG49","num","2001","0","43"
"r_1","BLG49","num","2001","1","29"
"r_1","BLG49","num","2001","2","14"
"r_1","BLG49","num","2002","0","54"
"r_1","BLG49","num","2002","1","32"
"r_1","BLG49","num","2002","2","22"
"r_1","BLG49","num","2003","0","59"
"r_1","BLG49","num","2003","1","30"
"r_1","BLG49","num","2003","2","29"
"r_1","BLG49","num","2004","0","54"
"r_1","BLG49","num","2004","1","28"
"r_1","BLG49","num","2004","2","26"
"r_1","BLG49","num","2005","0","43"
"r_1","BLG49","num","2005","1","24"
"r_1","BLG49","num","2005","2","19"
"r_1","BLG49","num","2006","0","47"
"r_1","BLG49","num","2006","1","24"
"r_1","BLG49","num","2006","2","23"
"r_1","BLG49","num","2007","0","65"
"r_1","BLG49","num","2007","1","41"
"r_1","BLG49","num","2007","2","24"
"r_1","BLG49","num","2008","0","63"
"r_1","BLG49","num","2008","1","26"
"r_1","BLG49","num","2008","2","37"
"r_1","BLG49","num","2009","0","60"
"r_1","BLG49","num","2009","1","34"
"r_1","BLG49","num","2009","2","26"
"r_1","BLG49","num","2010","0","52"
"r_1","BLG49","num","2010","1","30"
"r_1","BLG49","num","2010","2","22"
"r_1","BLG49","num","2011","0","56"
"r_1","BLG49","num","2011","1","30"
"r_1","BLG49","num","2011","2","26"
"r_1","BLG49","num","2012","0","58"
"r_1","BLG49","num","2012","1","33"
"r_1","BLG49","num","2012","2","25"
"r_1","BLG49","num","2013","0","61"
"r_1","BLG49","num","2013","1","36"
"r_1","BLG49","num","2013","2","25"
"r_1","BLG49","num","2014","0","52"
"r_1","BLG49","num","2014","1","25"
"r_1","BLG49","num","2014","2","27"
"r_1","BLG52","num","2000","0","105"
"r_1","BLG52","num","2000","1","53"
"r_1","BLG52","num","2000","2","52"
"r_1","BLG52","num","2001","0","87"
"r_1","BLG52","num","2001","1","43"
"r_1","BLG52","num","2001","2","44"
"r_1","BLG52","num","2002","0","97"
"r_1","BLG52","num","2002","1","55"
"r_1","BLG52","num","2002","2","42"
"r_1","BLG52","num","2003","0","98"
"r_1","BLG52","num","2003","1","45"
"r_1","BLG52","num","2003","2","53"
"r_1","BLG52","num","2004","0","126"
"r_1","BLG52","num","2004","1","64"
"r_1","BLG52","num","2004","2","62"
"r_1","BLG52","num","2005","0","100"
"r_1","BLG52","num","2005","1","52"
"r_1","BLG52","num","2005","2","48"
"r_1","BLG52","num","2006","0","108"
"r_1","BLG52","num","2006","1","53"
"r_1","BLG52","num","2006","2","55"
"r_1","BLG52","num","2007","0","106"
"r_1","BLG52","num","2007","1","62"
"r_1","BLG52","num","2007","2","44"
"r_1","BLG52","num","2008","0","105"
"r_1","BLG52","num","2008","1","58"
"r_1","BLG52","num","2008","2","47"
"r_1","BLG52","num","2009","0","89"
"r_1","BLG52","num","2009","1","48"
"r_1","BLG52","num","2009","2","41"
"r_1","BLG52","num","2010","0","79"
"r_1","BLG52","num","2010","1","39"
"r_1","BLG52","num","2010","2","40"
"r_1","BLG52","num","2011","0","80"
"r_1","BLG52","num","2011","1","41"
"r_1","BLG52","num","2011","2","39"
"r_1","BLG52","num","2012","0","73"
"r_1","BLG52","num","2012","1","48"
"r_1","BLG52","num","2012","2","25"
"r_1","BLG52","num","2013","0","83"
"r_1","BLG52","num","2013","1","43"
"r_1","BLG52","num","2013","2","40"
"r_1","BLG52","num","2014","0","59"
"r_1","BLG52","num","2014","1","33"
"r_1","BLG52","num","2014","2","26"
"r_1","BLG53","num","2000","0","111"
"r_1","BLG53","num","2000","1","56"
