RevisionColumn,periods,NUTS,Indicators,Units,ValueColumn
"r_3","2011","BG425","3.1.1.6.1","1000EUR","76300.8"
"r_3","2012","BG425","3.1.1.6.1","1000EUR","91542"
"r_3","2013","BG425","3.1.1.6.1","1000EUR","112929.3"
"r_3","2014","BG425","3.1.1.6.1","1000EUR","143950.7"
"r_3","2007","BG423","3.1.1.6.1","1000EUR","118275.4"
"r_3","2008","BG423","3.1.1.6.1","1000EUR","110124"
"r_3","2009","BG423","3.1.1.6.1","1000EUR","263202.9"
"r_3","2010","BG423","3.1.1.6.1","1000EUR","335732.5"
"r_3","2011","BG423","3.1.1.6.1","1000EUR","397258.9"
"r_3","2012","BG423","3.1.1.6.1","1000EUR","431090.9"
"r_3","2013","BG423","3.1.1.6.1","1000EUR","460436.5"
"r_3","2014","BG423","3.1.1.6.1","1000EUR","472034.6"
"r_3","2007","BG421","3.1.1.6.1","1000EUR","652991.5"
"r_3","2008","BG421","3.1.1.6.1","1000EUR","928811.7"
"r_3","2009","BG421","3.1.1.6.1","1000EUR","863319.9"
"r_3","2010","BG421","3.1.1.6.1","1000EUR","1118325.3"
"r_3","2011","BG421","3.1.1.6.1","1000EUR","1259572"
"r_3","2012","BG421","3.1.1.6.1","1000EUR","1340733.9"
"r_3","2013","BG421","3.1.1.6.1","1000EUR","1648669.2"
"r_3","2014","BG421","3.1.1.6.1","1000EUR","1546359.6"
"r_3","2007","BG424","3.1.1.6.1","1000EUR","29323.1"
"r_3","2008","BG424","3.1.1.6.1","1000EUR","83598"
"r_3","2009","BG424","3.1.1.6.1","1000EUR","113607.1"
"r_3","2010","BG424","3.1.1.6.1","1000EUR","70434.4"
"r_3","2011","BG424","3.1.1.6.1","1000EUR","72584.5"
"r_3","2012","BG424","3.1.1.6.1","1000EUR","75502.9"
"r_3","2013","BG424","3.1.1.6.1","1000EUR","76025.3"
"r_3","2014","BG424","3.1.1.6.1","1000EUR","75175.4"
"r_3","2007","BG422","3.1.1.6.1","1000EUR","101622.2"
"r_3","2008","BG422","3.1.1.6.1","1000EUR","156112.3"
"r_3","2009","BG422","3.1.1.6.1","1000EUR","71649.5"
"r_3","2010","BG422","3.1.1.6.1","1000EUR","66708.9"
"r_3","2011","BG422","3.1.1.6.1","1000EUR","103049.9"
"r_3","2012","BG422","3.1.1.6.1","1000EUR","94308.9"
"r_3","2013","BG422","3.1.1.6.1","1000EUR","74285.3"
"r_3","2014","BG422","3.1.1.6.1","1000EUR","61324.2"
"r_4","2016","BG","3.1.1.6.1","1000EUR","23508864.9"
"r_4","2016","BG31","3.1.1.6.1","1000EUR","512084.1"
"r_4","2016","BG311","3.1.1.6.1","1000EUR","71466.3"
"r_4","2016","BG313","3.1.1.6.1","1000EUR","76902.5"
"r_4","2016","BG315","3.1.1.6.1","1000EUR","139149.7"
"r_4","2016","BG312","3.1.1.6.1","1000EUR","36977.7"
"r_4","2016","BG314","3.1.1.6.1","1000EUR","187587.9"
"r_4","2016","BG32","3.1.1.6.1","1000EUR","981830.7"
"r_4","2016","BG321","3.1.1.6.1","1000EUR","147374.7"
"r_4","2016","BG322","3.1.1.6.1","1000EUR","302616.2"
"r_4","2016","BG324","3.1.1.6.1","1000EUR","131299.9"
"r_4","2016","BG323","3.1.1.6.1","1000EUR","367854.6"
"r_4","2016","BG325","3.1.1.6.1","1000EUR","32685.3"
"r_4","2016","BG33","3.1.1.6.1","1000EUR","2359757.1"
"r_4","2016","BG331","3.1.1.6.1","1000EUR","1785197.8"
"r_4","2016","BG332","3.1.1.6.1","1000EUR","244206"
"r_4","2016","BG334","3.1.1.6.1","1000EUR","227260.6"
"r_4","2016","BG333","3.1.1.6.1","1000EUR","103092.7"
"r_4","2016","BG34","3.1.1.6.1","1000EUR","2847711.8"
"r_4","2016","BG341","3.1.1.6.1","1000EUR","1746015"
"r_4","2016","BG342","3.1.1.6.1","1000EUR","124198.5"
"r_4","2016","BG344","3.1.1.6.1","1000EUR","920971.3"
"r_4","2016","BG343","3.1.1.6.1","1000EUR","56527"
"r_4","2016","BG41","3.1.1.6.1","1000EUR","14238769.4"
"r_4","2016","BG413","3.1.1.6.1","1000EUR","482986.7"
"r_4","2016","BG415","3.1.1.6.1","1000EUR","43720.3"
"r_4","2016","BG414","3.1.1.6.1","1000EUR","186558.1"
"r_4","2016","BG412","3.1.1.6.1","1000EUR","1313942.5"
"r_4","2016","BG411","3.1.1.6.1","1000EUR","12211561.8"
"r_4","2016","BG42","3.1.1.6.1","1000EUR","2568711.8"
"r_4","2016","BG425","3.1.1.6.1","1000EUR","153123.8"
"r_4","2016","BG423","3.1.1.6.1","1000EUR","480424.8"
"r_4","2016","BG421","3.1.1.6.1","1000EUR","1731001.7"
"r_4","2016","BG424","3.1.1.6.1","1000EUR","83761.4"
"r_4","2016","BG422","3.1.1.6.1","1000EUR","120400.1"
"r_5","2015","BG","3.1.1.6.1","1000EUR","23163272.7"
"r_5","2015","BG31","3.1.1.6.1","1000EUR","620794.8"
"r_5","2015","BG311","3.1.1.6.1","1000EUR","77842.1"
"r_5","2015","BG313","3.1.1.6.1","1000EUR","85676.3"
"r_5","2015","BG315","3.1.1.6.1","1000EUR","147443.1"
"r_5","2015","BG312","3.1.1.6.1","1000EUR","27354.6"
"r_5","2015","BG314","3.1.1.6.1","1000EUR","282478.7"
"r_5","2015","BG32","3.1.1.6.1","1000EUR","876758"
"r_5","2015","BG321","3.1.1.6.1","1000EUR","121708.1"
"r_5","2015","BG322","3.1.1.6.1","1000EUR","284368.2"
"r_5","2015","BG324","3.1.1.6.1","1000EUR","104855"
"r_5","2015","BG323","3.1.1.6.1","1000EUR","337023.4"
"r_5","2015","BG325","3.1.1.6.1","1000EUR","28803.3"
"r_5","2015","BG33","3.1.1.6.1","1000EUR","2271913.7"
"r_5","2015","BG331","3.1.1.6.1","1000EUR","1760956.7"
